feature,x_val,partial_effect,ci_lo,ci_hi
y_norm,0.7063102711535101,-0.002033114772348073,-0.009814031910311825,0.005747802365615678
y_norm,0.7488069115235954,-0.0009072051145174196,-0.009121182982724818,0.00730677275368998
y_norm,0.7913035518936811,-0.0003407619309361505,-0.008873095156511857,0.008191571294639554
y_norm,0.8338001922637663,-0.00036063080430591367,-0.008999209132390117,0.008277947523778289
y_norm,0.8762968326338516,-0.0005983208970744397,-0.00931258070429063,0.00811593891014175
y_norm,0.9187934730039369,-0.0006160938930535498,-0.009553637197049587,0.008321449410942488
y_norm,0.9612901133740226,2.3788523944945437e-05,-0.009301435635440666,0.009349012683330556
y_norm,1.0037867537441079,0.0017590646701092436,-0.007973276054077263,0.01149140539429575
y_norm,1.0462833941141931,0.005022568138287285,-0.004947206189807385,0.014992342466381956
y_norm,1.0887800344842784,0.00984894746167605,-0.00017578216078424462,0.019873677084136343
y_norm,1.1312766748543641,0.015587092374938823,0.005477839635290456,0.02569634511458719
y_norm,1.1737733152244494,0.021518089717283712,0.011141528769289158,0.03189465066527827
y_norm,1.2162699555945347,0.026923026327919028,0.01612796298967177,0.037718089666166285
y_norm,1.2587665959646204,0.031082989046053056,0.019910783828551278,0.042255194263554834
y_norm,1.3012632363347056,0.033305675660479706,0.022018294444198457,0.044593056876760954
y_norm,1.343759876704791,0.03360444189461315,0.022445322584180964,0.04476356120504534
y_norm,1.3862565170748762,0.032754589801802986,0.02172733135994709,0.04378184824365888
y_norm,1.428753157444962,0.031569310853851854,0.020513659297880356,0.04262496240982335
y_norm,1.4712497978150472,0.030861796522562452,0.019639593004042912,0.042084000041081995
y_norm,1.5137464381851324,0.03144523827973743,0.020097374184308243,0.04279310237516661
y_norm,1.5562430785552177,0.03407151161216703,0.02281315966354534,0.04532986356078872
y_norm,1.5987397189253034,0.03872647983625373,0.027661293326305812,0.04979166634620164
y_norm,1.6412363592953887,0.04487530410566832,0.033841913943583844,0.055908694267752794
y_norm,1.683732999665474,0.0519731949709545,0.040697946023609516,0.06324844391829948
y_norm,1.7262296400355592,0.05947536298265583,0.04781992394500659,0.07113080202030507
y_norm,1.768726280405645,0.06683701869131596,0.05494689822396946,0.07872713915866246
y_norm,1.8112229207757302,0.07357839430573375,0.06179357745263097,0.08536321115883652
